Daniel Katz (environmental activist)	2
Harold Ockenga	24
Florida state forests	2
Moncure D. Conway	20
Lower East Side I Infill	9
Transport Act 1968	80
Battle of Liège	0
Andre Malan	13
William Tennant Mortlock	13
Brett's law	5
Mamba APC	17
Frank Coe	56
Javanese Public Administration	2
Dexter Fahey	2
The Three Worlds of Welfare Capitalism	11
Purging (gas)	2
Eastern Orthodox Church in Thailand	2
God's Gun	15
Daimler DE	8
Red Tears	8
Saint Catherine College	5
Christophe Annedouche	5
Snake oil	9
Vaughn Meader	27
George Needham (businessman)	2
Joseph Francis Joy	6
Karen Bulow	6
Variable and attribute (research)	2
Albert VuliVuli	2
Middle Eastern and North African music traditions	2
Newtonian motivations for general relativity	3
GDF10	13
Nashua Gummed and Coated Paper Company Historic District	4
James Booker	98
Wiler	120
Charlie Baker (English footballer)	2
1997 Australian Touring Car season	5
The Cowboy's Flute	7
Nærum Line	10
Sidhant Gupta	9
Nova Scotia Court of Appeal	35
Palladium World	2
The Holocaust in Albania	4
2018 Central Michigan Chippewas football team	4
Freemasonry and women	5
Dominic Walker (bishop)	2
Eric the Red (album)	2
Statutory damages for copyright infringement	4
Toto Da Costa	7
Olivier Rochus	109
Son of Morris On	10
Simpson Creek Covered Bridge	5
Ada Herald	11
Gregory coefficients	22
Richard Alf	117
Deflagration to detonation transition	4
2007–08 Pakistan Premier League	2
Joe vs. Joe	8
Loco Dice	31
Zolochiv	150
Australian women's cricket team in England and Ireland in 2015	4
Neck (short story)	2
Dave L. Reed	6
Nottawa Township, Isabella County, Michigan	2
Andalusia, Illinois	4
Belmont Park Racecourse	27
SM UC-11	12
WFCJ	23
Handan Biroğlu	0
Abbotsford Heat	155
USS Congress (1799)	3
Parade	21594
Gloria Gaynor	331
The Wreck of the Grosvenor	8
2009 Maltese local elections	2
Veroljub Matić	0
Phalaborwa	101
The Social Lion	4
Hassan Ugail	7
Goodridge v. Department of Public Health	43
Tania Jeffries	19
Algerians in the United Kingdom	4
The Notwist	55
Jonathan Fisher	36
Richard Walker (baritone)	2
Better World Club	9
Ali Talib (artist)	2
Linda Cooper (television host)	2
Ghost Stories (1997 TV series)	2
Bereitet die Wege, bereitet die Bahn, BWV 132	1
Elza Erkip	4
Chang Jian	116
Chilamkurthi Veeraswamy	4
Antonio da Sangallo the Younger	93
Henri Delmotte	2
Structured English	22
Joel Carroll	5
Prior Park College	61
Graham McIntosh	2
