Process ID: [2421853] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./prompt_response/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/
    save_dir: ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2421853] | Loading data from ./prompt_response/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2421853] | Loading exist data from ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json | Total 0
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 0 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:12<42:09, 12.71s/it]  1%|▋                                                              | 2/200 [00:19<30:26,  9.23s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  2%|▉                                                              | 3/200 [00:34<38:40, 11.78s/it]  2%|█▎                                                             | 4/200 [00:45<37:08, 11.37s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 4 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  2%|█▌                                                             | 5/200 [00:55<36:11, 11.14s/it]  3%|█▉                                                             | 6/200 [01:06<35:12, 10.89s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 6 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  4%|██▏                                                            | 7/200 [01:19<37:50, 11.77s/it]  4%|██▌                                                            | 8/200 [01:31<37:34, 11.74s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 8 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  4%|██▊                                                            | 9/200 [01:42<36:45, 11.55s/it]  5%|███                                                           | 10/200 [01:55<38:23, 12.13s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 10 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  6%|███▍                                                          | 11/200 [02:03<33:35, 10.66s/it]  6%|███▋                                                          | 12/200 [02:15<35:12, 11.24s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 12 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  6%|████                                                          | 13/200 [02:39<46:20, 14.87s/it]  7%|████▎                                                         | 14/200 [02:46<39:03, 12.60s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 14 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  8%|████▋                                                         | 15/200 [03:07<46:42, 15.15s/it]  8%|████▉                                                         | 16/200 [03:17<41:58, 13.69s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 16 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  8%|█████▎                                                        | 17/200 [03:24<35:27, 11.62s/it]  9%|█████▌                                                        | 18/200 [03:38<37:30, 12.36s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 18 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 10%|█████▉                                                        | 19/200 [03:54<40:20, 13.37s/it] 10%|██████▏                                                       | 20/200 [04:08<41:07, 13.71s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 20 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 10%|██████▌                                                       | 21/200 [04:19<38:24, 12.87s/it] 11%|██████▊                                                       | 22/200 [04:39<44:35, 15.03s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 22 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 12%|███████▏                                                      | 23/200 [04:51<41:38, 14.12s/it] 12%|███████▍                                                      | 24/200 [05:02<37:56, 12.93s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 24 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 12%|███████▊                                                      | 25/200 [05:12<35:42, 12.24s/it] 13%|████████                                                      | 26/200 [05:20<31:43, 10.94s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 26 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
