Process ID: [2342247] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./ir_response_pure/response-10/llama-2-7b-chat-hf
    save_dir: ./fact/response-10/llama-2-7b-chat-hf
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2342247] | Loading data from ./ir_response_pure/response-10/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 0 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:10<34:20, 10.35s/it]  1%|▋                                                              | 2/200 [00:17<27:20,  8.28s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
  2%|▉                                                              | 3/200 [00:25<26:40,  8.12s/it]  2%|█▎                                                             | 4/200 [00:35<29:50,  9.13s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 4 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
  2%|█▌                                                             | 5/200 [00:43<28:04,  8.64s/it]  3%|█▉                                                             | 6/200 [00:51<26:45,  8.28s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 6 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
  4%|██▏                                                            | 7/200 [00:57<24:26,  7.60s/it]  4%|██▌                                                            | 8/200 [01:06<25:32,  7.98s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 8 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
  4%|██▊                                                            | 9/200 [01:14<25:41,  8.07s/it]  5%|███                                                           | 10/200 [01:21<24:31,  7.75s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 10 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
  6%|███▍                                                          | 11/200 [01:29<24:39,  7.83s/it]  6%|███▋                                                          | 12/200 [01:39<26:24,  8.43s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 12 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
  6%|████                                                          | 13/200 [01:45<24:20,  7.81s/it]  7%|████▎                                                         | 14/200 [01:54<25:04,  8.09s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 14 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
  8%|████▋                                                         | 15/200 [02:06<28:52,  9.37s/it]  8%|████▉                                                         | 16/200 [02:16<29:32,  9.63s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 16 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
  8%|█████▎                                                        | 17/200 [02:41<42:57, 14.08s/it]  9%|█████▌                                                        | 18/200 [02:49<37:19, 12.30s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 18 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 10%|█████▉                                                        | 19/200 [02:58<34:05, 11.30s/it] 10%|██████▏                                                       | 20/200 [03:07<31:53, 10.63s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 20 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 10%|██████▌                                                       | 21/200 [03:14<28:18,  9.49s/it] 11%|██████▊                                                       | 22/200 [03:22<26:51,  9.05s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 22 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 12%|███████▏                                                      | 23/200 [03:36<30:42, 10.41s/it] 12%|███████▍                                                      | 24/200 [03:45<29:43, 10.13s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 24 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 12%|███████▊                                                      | 25/200 [03:53<27:49,  9.54s/it] 13%|████████                                                      | 26/200 [04:02<26:46,  9.23s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 26 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 14%|████████▎                                                     | 27/200 [04:11<26:17,  9.12s/it] 14%|████████▋                                                     | 28/200 [04:13<20:43,  7.23s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 28 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 14%|████████▉                                                     | 29/200 [04:22<21:38,  7.60s/it] 15%|█████████▎                                                    | 30/200 [04:37<28:16,  9.98s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 30 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 16%|█████████▌                                                    | 31/200 [04:47<27:44,  9.85s/it] 16%|█████████▉                                                    | 32/200 [04:53<24:08,  8.62s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 32 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 16%|██████████▏                                                   | 33/200 [05:01<24:06,  8.66s/it] 17%|██████████▌                                                   | 34/200 [05:11<24:23,  8.82s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 34 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 18%|██████████▊                                                   | 35/200 [05:16<21:50,  7.94s/it] 18%|███████████▏                                                  | 36/200 [05:26<22:49,  8.35s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 36 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 18%|███████████▍                                                  | 37/200 [05:33<21:23,  7.88s/it] 19%|███████████▊                                                  | 38/200 [05:42<22:51,  8.47s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 38 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 20%|████████████                                                  | 39/200 [05:53<24:27,  9.11s/it] 20%|████████████▍                                                 | 40/200 [06:00<22:49,  8.56s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 40 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 20%|████████████▋                                                 | 41/200 [06:01<16:41,  6.30s/it] 21%|█████████████                                                 | 42/200 [06:13<20:40,  7.85s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 42 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 22%|█████████████▎                                                | 43/200 [06:23<22:20,  8.54s/it] 22%|█████████████▋                                                | 44/200 [06:41<29:20, 11.28s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 44 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 22%|█████████████▉                                                | 45/200 [06:47<24:58,  9.67s/it] 23%|██████████████▎                                               | 46/200 [06:47<18:05,  7.05s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 46 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 24%|██████████████▌                                               | 47/200 [06:59<21:26,  8.41s/it] 24%|██████████████▉                                               | 48/200 [07:06<20:10,  7.96s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 48 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 24%|███████████████▏                                              | 49/200 [07:16<21:15,  8.45s/it] 25%|███████████████▌                                              | 50/200 [07:17<15:45,  6.30s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 50 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 26%|███████████████▊                                              | 51/200 [07:25<17:00,  6.85s/it] 26%|████████████████                                              | 52/200 [07:35<19:09,  7.77s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 52 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 26%|████████████████▍                                             | 53/200 [07:41<17:51,  7.29s/it] 27%|████████████████▋                                             | 54/200 [07:48<17:43,  7.28s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 54 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 28%|█████████████████                                             | 55/200 [07:56<17:42,  7.32s/it] 28%|█████████████████▎                                            | 56/200 [08:10<22:29,  9.37s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 56 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 28%|█████████████████▋                                            | 57/200 [08:17<21:04,  8.84s/it] 29%|█████████████████▉                                            | 58/200 [08:28<22:09,  9.36s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 58 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 30%|██████████████████▎                                           | 59/200 [08:33<18:42,  7.96s/it] 30%|██████████████████▌                                           | 60/200 [08:40<18:14,  7.82s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 60 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 30%|██████████████████▉                                           | 61/200 [08:46<16:38,  7.18s/it] 31%|███████████████████▏                                          | 62/200 [08:53<16:39,  7.24s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 62 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 32%|███████████████████▌                                          | 63/200 [09:02<17:44,  7.77s/it] 32%|███████████████████▊                                          | 64/200 [09:11<18:16,  8.06s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 64 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 32%|████████████████████▏                                         | 65/200 [09:24<21:11,  9.42s/it] 33%|████████████████████▍                                         | 66/200 [09:32<20:38,  9.24s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 66 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 34%|████████████████████▊                                         | 67/200 [09:38<18:04,  8.15s/it] 34%|█████████████████████                                         | 68/200 [09:50<20:09,  9.16s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 68 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 34%|█████████████████████▍                                        | 69/200 [09:58<19:47,  9.06s/it] 35%|█████████████████████▋                                        | 70/200 [10:08<19:39,  9.07s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 70 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 36%|██████████████████████                                        | 71/200 [10:15<18:21,  8.54s/it] 36%|██████████████████████▎                                       | 72/200 [10:21<16:27,  7.72s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 72 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
