Process ID: [2421855] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./prompt_response/prompt_improvement/human_detailed/llama-2-7b-chat-hf/
    save_dir: ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2421855] | Loading data from ./prompt_response/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2421855] | Loading exist data from ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 14
  0%|                                                                       | 0/186 [00:00<?, ?it/s]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 14 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  1%|▎                                                              | 1/186 [00:10<31:37, 10.26s/it]  1%|▋                                                              | 2/186 [00:24<38:13, 12.46s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 16 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  2%|█                                                              | 3/186 [00:28<26:51,  8.81s/it]  2%|█▎                                                             | 4/186 [00:38<27:28,  9.06s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 18 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  3%|█▋                                                             | 5/186 [00:53<33:52, 11.23s/it]  3%|██                                                             | 6/186 [01:03<32:29, 10.83s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 20 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  4%|██▎                                                            | 7/186 [01:13<31:35, 10.59s/it]  4%|██▋                                                            | 8/186 [01:22<30:00, 10.12s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 22 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  5%|███                                                            | 9/186 [01:30<27:31,  9.33s/it]  5%|███▎                                                          | 10/186 [01:43<31:16, 10.66s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 24 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  6%|███▋                                                          | 11/186 [01:56<32:47, 11.24s/it]  6%|████                                                          | 12/186 [02:05<31:12, 10.76s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 26 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  7%|████▎                                                         | 13/186 [02:18<32:23, 11.23s/it]  8%|████▋                                                         | 14/186 [02:28<30:56, 10.79s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 28 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  8%|█████                                                         | 15/186 [02:42<33:52, 11.89s/it]  9%|█████▏                                                      | 16/186 [03:28<1:02:27, 22.04s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 30 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  9%|█████▋                                                        | 17/186 [03:37<51:35, 18.32s/it] 10%|██████                                                        | 18/186 [03:47<43:40, 15.60s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 32 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 10%|██████▎                                                       | 19/186 [03:56<38:07, 13.70s/it] 11%|██████▋                                                       | 20/186 [04:04<33:31, 12.12s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 34 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 11%|███████                                                       | 21/186 [04:12<29:54, 10.87s/it] 12%|███████▎                                                      | 22/186 [04:26<32:26, 11.87s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 36 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
