Process ID: [2339265] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-7b
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./sft2/flan
    save_dir: ./fact/flan
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2339265] | Loading data from ./sft2/flan/Bio-Medical.json | Total 200
Process ID: [2339265] | Loading exist data from ./fact/flan/Bio-Medical.json | Total 0
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 0 items to ./fact/flan/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:02<07:06,  2.14s/it]  1%|▋                                                              | 2/200 [00:03<05:21,  1.62s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 2 items to ./fact/flan/Bio-Medical.json
  2%|▉                                                              | 3/200 [00:04<04:24,  1.34s/it]  2%|█▎                                                             | 4/200 [00:05<03:55,  1.20s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 4 items to ./fact/flan/Bio-Medical.json
  2%|█▌                                                             | 5/200 [00:06<03:38,  1.12s/it]  3%|█▉                                                             | 6/200 [00:07<03:29,  1.08s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 6 items to ./fact/flan/Bio-Medical.json
  4%|██▏                                                            | 7/200 [00:09<04:08,  1.29s/it]  4%|██▌                                                            | 8/200 [00:10<03:57,  1.24s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 8 items to ./fact/flan/Bio-Medical.json
  4%|██▊                                                            | 9/200 [00:11<03:37,  1.14s/it]  5%|███                                                           | 10/200 [00:12<03:29,  1.10s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 10 items to ./fact/flan/Bio-Medical.json
  6%|███▍                                                          | 11/200 [00:13<03:51,  1.23s/it]  6%|███▋                                                          | 12/200 [00:15<04:28,  1.43s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 12 items to ./fact/flan/Bio-Medical.json
  6%|████                                                          | 13/200 [00:16<03:59,  1.28s/it]  7%|████▎                                                         | 14/200 [00:18<05:00,  1.61s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 14 items to ./fact/flan/Bio-Medical.json
  8%|████▋                                                         | 15/200 [00:20<05:01,  1.63s/it]  8%|████▉                                                         | 16/200 [00:21<04:28,  1.46s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 16 items to ./fact/flan/Bio-Medical.json
  8%|█████▎                                                        | 17/200 [00:25<07:04,  2.32s/it]  9%|█████▌                                                        | 18/200 [00:26<05:42,  1.88s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 18 items to ./fact/flan/Bio-Medical.json
 10%|█████▉                                                        | 19/200 [00:27<04:45,  1.58s/it] 10%|██████▏                                                       | 20/200 [00:28<04:15,  1.42s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 20 items to ./fact/flan/Bio-Medical.json
 10%|██████▌                                                       | 21/200 [00:29<03:47,  1.27s/it] 11%|██████▊                                                       | 22/200 [00:30<03:39,  1.24s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 22 items to ./fact/flan/Bio-Medical.json
 12%|███████▏                                                      | 23/200 [00:32<03:50,  1.30s/it] 12%|███████▍                                                      | 24/200 [00:33<03:54,  1.33s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 24 items to ./fact/flan/Bio-Medical.json
 12%|███████▊                                                      | 25/200 [00:34<03:50,  1.32s/it] 13%|████████                                                      | 26/200 [00:35<03:32,  1.22s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 26 items to ./fact/flan/Bio-Medical.json
 14%|████████▎                                                     | 27/200 [00:37<03:57,  1.37s/it] 14%|████████▋                                                     | 28/200 [00:39<04:32,  1.58s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 28 items to ./fact/flan/Bio-Medical.json
 14%|████████▉                                                     | 29/200 [00:40<04:06,  1.44s/it] 15%|█████████▎                                                    | 30/200 [00:41<03:34,  1.26s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 30 items to ./fact/flan/Bio-Medical.json
 16%|█████████▌                                                    | 31/200 [00:42<03:19,  1.18s/it] 16%|█████████▉                                                    | 32/200 [00:43<03:05,  1.11s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 32 items to ./fact/flan/Bio-Medical.json
 16%|██████████▏                                                   | 33/200 [00:44<03:12,  1.15s/it] 17%|██████████▌                                                   | 34/200 [00:46<03:13,  1.17s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 34 items to ./fact/flan/Bio-Medical.json
 18%|██████████▊                                                   | 35/200 [00:47<03:11,  1.16s/it] 18%|███████████▏                                                  | 36/200 [00:49<04:19,  1.58s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 36 items to ./fact/flan/Bio-Medical.json
 18%|███████████▍                                                  | 37/200 [00:50<03:43,  1.37s/it] 19%|███████████▊                                                  | 38/200 [00:51<03:27,  1.28s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 38 items to ./fact/flan/Bio-Medical.json
 20%|████████████                                                  | 39/200 [00:52<03:13,  1.20s/it] 20%|████████████▍                                                 | 40/200 [00:53<03:09,  1.18s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 40 items to ./fact/flan/Bio-Medical.json
 20%|████████████▋                                                 | 41/200 [00:55<03:32,  1.34s/it] 21%|█████████████                                                 | 42/200 [00:56<03:03,  1.16s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 42 items to ./fact/flan/Bio-Medical.json
 22%|█████████████▎                                                | 43/200 [00:58<03:32,  1.35s/it] 22%|█████████████▋                                                | 44/200 [00:59<03:22,  1.30s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 44 items to ./fact/flan/Bio-Medical.json
 22%|█████████████▉                                                | 45/200 [01:00<03:20,  1.29s/it] 23%|██████████████▎                                               | 46/200 [01:01<02:59,  1.17s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 46 items to ./fact/flan/Bio-Medical.json
 24%|██████████████▌                                               | 47/200 [01:02<02:40,  1.05s/it] 24%|██████████████▉                                               | 48/200 [01:03<02:56,  1.16s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 48 items to ./fact/flan/Bio-Medical.json
 24%|███████████████▏                                              | 49/200 [01:04<02:40,  1.06s/it] 25%|███████████████▌                                              | 50/200 [01:05<02:51,  1.14s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 50 items to ./fact/flan/Bio-Medical.json
 26%|███████████████▊                                              | 51/200 [01:06<02:32,  1.02s/it] 26%|████████████████                                              | 52/200 [01:08<03:13,  1.31s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 52 items to ./fact/flan/Bio-Medical.json
 26%|████████████████▍                                             | 53/200 [01:09<03:08,  1.29s/it] 27%|████████████████▋                                             | 54/200 [01:10<02:52,  1.18s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 54 items to ./fact/flan/Bio-Medical.json
 28%|█████████████████                                             | 55/200 [01:12<03:18,  1.37s/it] 28%|█████████████████▎                                            | 56/200 [01:13<03:19,  1.39s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 56 items to ./fact/flan/Bio-Medical.json
 28%|█████████████████▋                                            | 57/200 [01:14<02:54,  1.22s/it] 29%|█████████████████▉                                            | 58/200 [01:15<02:35,  1.10s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 58 items to ./fact/flan/Bio-Medical.json
 30%|██████████████████▎                                           | 59/200 [01:16<02:41,  1.15s/it] 30%|██████████████████▌                                           | 60/200 [01:17<02:37,  1.12s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 60 items to ./fact/flan/Bio-Medical.json
 30%|██████████████████▉                                           | 61/200 [01:18<02:22,  1.02s/it] 31%|███████████████████▏                                          | 62/200 [01:19<02:13,  1.04it/s]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 62 items to ./fact/flan/Bio-Medical.json
 32%|███████████████████▌                                          | 63/200 [01:20<02:16,  1.01it/s] 32%|███████████████████▊                                          | 64/200 [01:21<02:09,  1.05it/s]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 64 items to ./fact/flan/Bio-Medical.json
 32%|████████████████████▏                                         | 65/200 [01:23<02:40,  1.19s/it] 33%|████████████████████▍                                         | 66/200 [01:24<02:37,  1.17s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 66 items to ./fact/flan/Bio-Medical.json
 34%|████████████████████▊                                         | 67/200 [01:25<02:28,  1.12s/it] 34%|█████████████████████                                         | 68/200 [01:26<02:25,  1.10s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 68 items to ./fact/flan/Bio-Medical.json
 34%|█████████████████████▍                                        | 69/200 [01:27<02:27,  1.12s/it] 35%|█████████████████████▋                                        | 70/200 [01:29<02:54,  1.34s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 70 items to ./fact/flan/Bio-Medical.json
 36%|██████████████████████                                        | 71/200 [01:32<03:47,  1.76s/it] 36%|██████████████████████▎                                       | 72/200 [01:32<03:07,  1.46s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 72 items to ./fact/flan/Bio-Medical.json
 36%|██████████████████████▋                                       | 73/200 [01:33<02:42,  1.28s/it] 37%|██████████████████████▉                                       | 74/200 [01:34<02:24,  1.15s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 74 items to ./fact/flan/Bio-Medical.json
 38%|███████████████████████▎                                      | 75/200 [01:35<02:22,  1.14s/it] 38%|███████████████████████▌                                      | 76/200 [01:36<02:06,  1.02s/it]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 76 items to ./fact/flan/Bio-Medical.json
 38%|███████████████████████▊                                      | 77/200 [01:37<01:52,  1.10it/s] 39%|████████████████████████▏                                     | 78/200 [01:38<01:55,  1.06it/s]Process ID: [2339265] | Model: llama-7b | File: Bio-Medical | Saving 78 items to ./fact/flan/Bio-Medical.json
