Process ID: [2421856] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./prompt_response/prompt_improvement/model_detailed/llama-2-7b-chat-hf/
    save_dir: ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2421856] | Loading data from ./prompt_response/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2421856] | Loading exist data from ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 14
  0%|                                                                       | 0/186 [00:00<?, ?it/s]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 14 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  1%|▎                                                              | 1/186 [00:13<40:14, 13.05s/it]  1%|▋                                                              | 2/186 [00:22<32:37, 10.64s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 16 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  2%|█                                                              | 3/186 [00:25<23:05,  7.57s/it]  2%|█▎                                                             | 4/186 [00:33<22:35,  7.45s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 18 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  3%|█▋                                                             | 5/186 [00:36<18:27,  6.12s/it]  3%|██                                                             | 6/186 [00:45<20:26,  6.81s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 20 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  4%|██▎                                                            | 7/186 [00:59<27:19,  9.16s/it]  4%|██▋                                                            | 8/186 [01:09<27:53,  9.40s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 22 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  5%|███                                                            | 9/186 [01:30<38:31, 13.06s/it]  5%|███▎                                                          | 10/186 [01:45<40:17, 13.74s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 24 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  6%|███▋                                                          | 11/186 [01:52<34:30, 11.83s/it]  6%|████                                                          | 12/186 [02:03<33:36, 11.59s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 26 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  7%|████▎                                                         | 13/186 [02:12<30:28, 10.57s/it]  8%|████▋                                                         | 14/186 [02:28<35:06, 12.24s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 28 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  8%|█████                                                         | 15/186 [02:41<35:24, 12.42s/it]  9%|█████▎                                                        | 16/186 [03:13<52:04, 18.38s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 30 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  9%|█████▋                                                        | 17/186 [03:26<47:06, 16.72s/it] 10%|██████                                                        | 18/186 [03:35<40:21, 14.41s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 32 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 10%|██████▎                                                       | 19/186 [03:51<41:50, 15.03s/it] 11%|██████▋                                                       | 20/186 [04:01<37:21, 13.50s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 34 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 11%|███████                                                       | 21/186 [04:05<28:52, 10.50s/it] 12%|███████▎                                                      | 22/186 [04:17<30:29, 11.15s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 36 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
