Process ID: [2461869] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/
    save_dir: ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/determine_truthfulness_ins.txt
Process ID: [2461869] | Loading data from ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 0 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:08<27:22,  8.25s/it]  1%|▋                                                              | 2/200 [00:26<47:07, 14.28s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  2%|▉                                                              | 3/200 [00:30<30:54,  9.41s/it]  2%|█▎                                                             | 4/200 [00:43<35:59, 11.02s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 4 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  2%|█▌                                                             | 5/200 [00:52<33:36, 10.34s/it]  3%|█▉                                                             | 6/200 [00:56<25:44,  7.96s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 6 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  4%|██▏                                                            | 7/200 [00:59<20:36,  6.41s/it]  4%|██▌                                                            | 8/200 [01:18<33:29, 10.47s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 8 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  4%|██▊                                                            | 9/200 [01:24<29:01,  9.12s/it]  5%|███                                                           | 10/200 [01:34<29:30,  9.32s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 10 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  6%|███▍                                                          | 11/200 [01:46<31:34, 10.02s/it]  6%|███▋                                                          | 12/200 [01:48<24:05,  7.69s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 12 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  6%|████                                                          | 13/200 [01:59<26:57,  8.65s/it]  7%|████▎                                                         | 14/200 [02:03<22:50,  7.37s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 14 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  8%|████▋                                                         | 15/200 [02:15<26:50,  8.71s/it]  8%|████▉                                                         | 16/200 [02:28<30:13,  9.86s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 16 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  8%|█████▎                                                        | 17/200 [02:30<23:18,  7.64s/it]  9%|█████▌                                                        | 18/200 [02:34<20:03,  6.62s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 18 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 10%|█████▉                                                        | 19/200 [02:46<24:46,  8.21s/it] 10%|██████▏                                                       | 20/200 [02:53<23:02,  7.68s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 20 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 10%|██████▌                                                       | 21/200 [03:04<25:39,  8.60s/it] 11%|██████▊                                                       | 22/200 [03:17<29:34,  9.97s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 22 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 12%|███████▏                                                      | 23/200 [03:20<23:23,  7.93s/it] 12%|███████▍                                                      | 24/200 [03:31<26:22,  8.99s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 24 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 12%|███████▊                                                      | 25/200 [03:45<29:59, 10.28s/it] 13%|████████                                                      | 26/200 [03:52<27:24,  9.45s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 26 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 14%|████████▎                                                     | 27/200 [03:58<24:33,  8.52s/it] 14%|████████▋                                                     | 28/200 [04:02<20:20,  7.10s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 28 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 14%|████████▉                                                     | 29/200 [04:13<23:05,  8.10s/it] 15%|█████████▎                                                    | 30/200 [04:19<21:46,  7.68s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 30 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 16%|█████████▌                                                    | 31/200 [04:26<20:54,  7.42s/it] 16%|█████████▉                                                    | 32/200 [04:29<16:30,  5.89s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 32 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 16%|██████████▏                                                   | 33/200 [04:40<20:48,  7.48s/it] 17%|██████████▌                                                   | 34/200 [05:01<32:14, 11.65s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 34 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 18%|██████████▊                                                   | 35/200 [05:14<33:05, 12.04s/it] 18%|███████████▏                                                  | 36/200 [05:22<29:20, 10.74s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 36 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 18%|███████████▍                                                  | 37/200 [05:34<30:16, 11.14s/it] 19%|███████████▊                                                  | 38/200 [05:43<28:48, 10.67s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 38 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 20%|████████████                                                  | 39/200 [06:01<34:17, 12.78s/it] 20%|████████████▍                                                 | 40/200 [06:25<42:44, 16.03s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 40 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 20%|████████████▋                                                 | 41/200 [06:33<36:04, 13.62s/it] 21%|█████████████                                                 | 42/200 [06:36<27:47, 10.55s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 42 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 22%|█████████████▎                                                | 43/200 [06:48<28:20, 10.83s/it] 22%|█████████████▋                                                | 44/200 [07:00<29:21, 11.29s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 44 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 22%|█████████████▉                                                | 45/200 [07:12<29:37, 11.47s/it] 23%|██████████████▎                                               | 46/200 [07:22<28:36, 11.15s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 46 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 24%|██████████████▌                                               | 47/200 [07:39<32:49, 12.87s/it] 24%|██████████████▉                                               | 48/200 [07:52<32:28, 12.82s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 48 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 24%|███████████████▏                                              | 49/200 [08:03<30:57, 12.30s/it] 25%|███████████████▌                                              | 50/200 [08:24<37:29, 15.00s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 50 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 26%|███████████████▊                                              | 51/200 [08:33<32:34, 13.12s/it] 26%|████████████████                                              | 52/200 [08:38<26:33, 10.77s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 52 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 27%|████████████████▋                                             | 54/200 [08:53<22:30,  9.25s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 54 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 28%|█████████████████                                             | 55/200 [08:58<19:33,  8.09s/it] 28%|█████████████████▎                                            | 56/200 [09:09<21:28,  8.95s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 56 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
