Process ID: [2461870] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/
    save_dir: ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/determine_truthfulness_ins.txt
Process ID: [2461870] | Loading data from ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 0 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:05<19:34,  5.90s/it]  1%|▋                                                              | 2/200 [00:10<16:56,  5.13s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  2%|▉                                                              | 3/200 [00:20<24:24,  7.43s/it]  2%|█▎                                                             | 4/200 [00:23<18:15,  5.59s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 4 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  2%|█▌                                                             | 5/200 [00:31<21:22,  6.58s/it]  3%|█▉                                                             | 6/200 [00:38<21:52,  6.76s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 6 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  4%|██▏                                                            | 7/200 [00:53<29:33,  9.19s/it]  4%|██▌                                                            | 8/200 [01:04<32:09, 10.05s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 8 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  4%|██▊                                                            | 9/200 [01:16<33:42, 10.59s/it]  5%|███                                                           | 10/200 [01:41<47:00, 14.85s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 10 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  6%|███▍                                                          | 11/200 [01:51<41:59, 13.33s/it]  6%|███▋                                                          | 12/200 [01:57<35:03, 11.19s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 12 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  6%|████                                                          | 13/200 [02:11<38:01, 12.20s/it]  7%|████▎                                                         | 14/200 [02:16<30:20,  9.79s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 14 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  8%|████▋                                                         | 15/200 [02:24<29:10,  9.46s/it]  8%|████▉                                                         | 16/200 [02:26<21:38,  7.06s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 16 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  8%|█████▎                                                        | 17/200 [02:29<17:37,  5.78s/it]  9%|█████▌                                                        | 18/200 [02:38<21:16,  7.01s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 18 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 10%|█████▉                                                        | 19/200 [02:48<23:46,  7.88s/it] 10%|██████▏                                                       | 20/200 [02:53<20:47,  6.93s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 20 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 10%|██████▌                                                       | 21/200 [03:08<28:08,  9.43s/it] 11%|██████▊                                                       | 22/200 [03:14<24:50,  8.37s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 22 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
