Process ID: [2461867] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/
    save_dir: ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/determine_truthfulness_ins.txt
Process ID: [2461867] | Loading data from ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 0 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:10<36:28, 11.00s/it]  1%|▋                                                              | 2/200 [00:17<26:42,  8.10s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  2%|▉                                                              | 3/200 [00:19<18:03,  5.50s/it]  2%|█▎                                                             | 4/200 [00:30<24:31,  7.51s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 4 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  2%|█▌                                                             | 5/200 [00:41<29:03,  8.94s/it]  3%|█▉                                                             | 6/200 [00:46<25:03,  7.75s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 6 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  4%|██▏                                                            | 7/200 [01:14<45:55, 14.28s/it]  4%|██▌                                                            | 8/200 [01:35<52:16, 16.34s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 8 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  4%|██▊                                                            | 9/200 [01:50<50:17, 15.80s/it]  5%|███                                                           | 10/200 [02:07<51:44, 16.34s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 10 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  6%|███▍                                                          | 11/200 [02:14<42:39, 13.54s/it]  6%|███▋                                                          | 12/200 [02:20<35:07, 11.21s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 12 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  6%|████                                                          | 13/200 [02:39<42:02, 13.49s/it]  7%|████▎                                                         | 14/200 [02:52<41:28, 13.38s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 14 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  8%|████▋                                                         | 15/200 [03:14<49:35, 16.08s/it]  8%|████▉                                                         | 16/200 [03:27<46:06, 15.04s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 16 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  8%|█████▎                                                        | 17/200 [03:29<33:54, 11.12s/it]  9%|█████▌                                                        | 18/200 [03:34<27:52,  9.19s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 18 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 10%|█████▉                                                        | 19/200 [03:57<40:29, 13.42s/it] 10%|██████▏                                                       | 20/200 [04:02<32:20, 10.78s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 20 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 10%|██████▌                                                       | 21/200 [04:16<35:17, 11.83s/it] 11%|██████▊                                                       | 22/200 [04:30<36:56, 12.45s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 22 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
