Process ID: [2421852] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./prompt_response/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/
    save_dir: ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2421852] | Loading data from ./prompt_response/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2421852] | Loading exist data from ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json | Total 0
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 0 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:16<55:44, 16.81s/it]  1%|▋                                                              | 2/200 [00:23<35:31, 10.77s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  2%|▉                                                              | 3/200 [00:49<58:17, 17.75s/it]  2%|█▎                                                             | 4/200 [01:08<59:22, 18.18s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 4 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  2%|█▌                                                             | 5/200 [01:15<46:03, 14.17s/it]  3%|█▉                                                             | 6/200 [01:28<44:18, 13.70s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 6 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  4%|██▏                                                            | 7/200 [01:48<50:37, 15.74s/it]  4%|██▌                                                            | 8/200 [01:56<42:42, 13.35s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 8 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  4%|██▊                                                            | 9/200 [02:07<40:40, 12.78s/it]  5%|███                                                           | 10/200 [02:16<36:06, 11.40s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 10 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  6%|███▍                                                          | 11/200 [02:33<41:21, 13.13s/it]  6%|███▋                                                          | 12/200 [02:49<43:59, 14.04s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 12 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  6%|████                                                          | 13/200 [02:50<31:30, 10.11s/it]  7%|████▎                                                         | 14/200 [03:05<35:57, 11.60s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 14 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  8%|████▋                                                         | 15/200 [03:21<40:16, 13.06s/it]  8%|████▉                                                         | 16/200 [03:34<40:07, 13.08s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 16 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  8%|█████▎                                                        | 17/200 [03:44<36:12, 11.87s/it]  9%|█████▌                                                        | 18/200 [03:52<33:11, 10.94s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 18 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 10%|█████▉                                                        | 19/200 [04:03<33:07, 10.98s/it] 10%|██████▏                                                       | 20/200 [04:20<38:20, 12.78s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 20 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 10%|██████▌                                                       | 21/200 [04:31<36:04, 12.09s/it] 11%|██████▊                                                       | 22/200 [04:43<35:51, 12.09s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 22 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 12%|███████▏                                                      | 23/200 [04:55<35:36, 12.07s/it] 12%|███████▍                                                      | 24/200 [05:05<33:45, 11.51s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 24 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 12%|███████▊                                                      | 25/200 [05:12<29:04,  9.97s/it] 13%|████████                                                      | 26/200 [05:21<28:45,  9.91s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 26 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 14%|████████▎                                                     | 27/200 [05:39<34:54, 12.11s/it] 14%|████████▋                                                     | 28/200 [05:52<35:31, 12.39s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 28 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 14%|████████▉                                                     | 29/200 [06:03<34:24, 12.07s/it] 15%|█████████▎                                                    | 30/200 [06:20<38:41, 13.65s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 30 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 16%|█████████▌                                                    | 31/200 [06:27<32:52, 11.67s/it] 16%|█████████▉                                                    | 32/200 [06:39<33:00, 11.79s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 32 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 16%|██████████▏                                                   | 33/200 [06:54<35:12, 12.65s/it] 17%|██████████▌                                                   | 34/200 [07:06<34:24, 12.44s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 34 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 18%|██████████▊                                                   | 35/200 [07:19<34:41, 12.61s/it] 18%|███████████▏                                                  | 36/200 [07:31<33:36, 12.30s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 36 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 18%|███████████▍                                                  | 37/200 [07:32<24:36,  9.06s/it] 19%|███████████▊                                                  | 38/200 [07:41<24:16,  8.99s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 38 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
