Process ID: [2339266] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-7b
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./sft2/sharegpt
    save_dir: ./fact/sharegpt
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2339266] | Loading data from ./sft2/sharegpt/Bio-Medical.json | Total 200
Process ID: [2339266] | Loading exist data from ./fact/sharegpt/Bio-Medical.json | Total 0
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 0 items to ./fact/sharegpt/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:09<29:58,  9.04s/it]  1%|▋                                                              | 2/200 [00:22<38:17, 11.60s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 2 items to ./fact/sharegpt/Bio-Medical.json
  2%|▉                                                              | 3/200 [00:29<31:26,  9.58s/it]  2%|█▎                                                             | 4/200 [00:36<28:04,  8.60s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 4 items to ./fact/sharegpt/Bio-Medical.json
  2%|█▌                                                             | 5/200 [00:47<30:26,  9.37s/it]  3%|█▉                                                             | 6/200 [00:53<26:28,  8.19s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 6 items to ./fact/sharegpt/Bio-Medical.json
  4%|██▏                                                            | 7/200 [01:02<27:22,  8.51s/it]  4%|██▌                                                            | 8/200 [01:09<26:11,  8.19s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 8 items to ./fact/sharegpt/Bio-Medical.json
  4%|██▊                                                            | 9/200 [01:16<24:07,  7.58s/it]  5%|███                                                           | 10/200 [01:27<27:33,  8.70s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 10 items to ./fact/sharegpt/Bio-Medical.json
  6%|███▍                                                          | 11/200 [01:33<24:43,  7.85s/it]  6%|███▋                                                          | 12/200 [01:40<24:06,  7.69s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 12 items to ./fact/sharegpt/Bio-Medical.json
  6%|████                                                          | 13/200 [01:48<24:11,  7.76s/it]  7%|████▎                                                         | 14/200 [01:50<18:19,  5.91s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 14 items to ./fact/sharegpt/Bio-Medical.json
  8%|████▋                                                         | 15/200 [02:03<24:37,  7.98s/it]  8%|████▉                                                         | 16/200 [02:16<29:17,  9.55s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 16 items to ./fact/sharegpt/Bio-Medical.json
  8%|█████▎                                                        | 17/200 [02:21<25:37,  8.40s/it]  9%|█████▌                                                        | 18/200 [02:32<27:26,  9.05s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 18 items to ./fact/sharegpt/Bio-Medical.json
 10%|█████▉                                                        | 19/200 [02:37<23:54,  7.92s/it] 10%|██████▏                                                       | 20/200 [02:44<22:58,  7.66s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 20 items to ./fact/sharegpt/Bio-Medical.json
 10%|██████▌                                                       | 21/200 [02:52<22:45,  7.63s/it] 11%|██████▊                                                       | 22/200 [02:59<22:07,  7.46s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 22 items to ./fact/sharegpt/Bio-Medical.json
